	f6hyper_in_lamina	f6hypo_in_lamina	f8hyper_in_lamina	f8hypo_in_lamina	fibroblasts_f6_hyper	fibroblasts_f6_hypo	fibroblasts_f8_hyper	fibroblasts_f8_hypo	koch_senescence_hyper	koch_senescence_hyper_in_lamina	koch_senescence_hypo	koch_senescence_hypo_in_lamina
	f6hyper_in_lamina	f6hypo_in_lamina	f8hyper_in_lamina	f8hypo_in_lamina	fibroblasts_f6_hyper	fibroblasts_f6_hypo	fibroblasts_f8_hyper	fibroblasts_f8_hypo	koch_senescence_hyper	koch_senescence_hyper_in_lamina	koch_senescence_hypo	koch_senescence_hypo_in_lamina
MA0068.1.Pax4	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00041_1_Foxj1_primary	0.976009873256	0.999537787699	0.164276114962	0.988160184558	0.985813738513	0.999989314727	0.997912790325	0.999520966344	0.999999999977	0.999999999999	0.999999999992	1.0
UP00142_1_Uncx4.1_2281.2	1.0	0.996730818987	1.0	0.999999999996	0.99999999993	0.999598426111	1.0	0.999999999979	0.999999999958	1.0	0.999999999983	1.0
MA0141.1.Esrrb	0.576169490033	0.98531753765	0.736971919304	0.587716614579	0.630017146577	0.888807501591	0.115639189342	0.19238146959	0.612007556414	0.317211238632	0.940396634148	0.786781075078
MA0122.1.Nkx3-2	0.196538318717	0.527085899986	0.760925964921	0.999999999996	0.486763127375	0.565543054895	0.715413746572	0.876253331625	0.828031125908	0.999999999998	0.863290117901	0.888558422695
UP00181_1_Barx1_2877.1	0.802626121984	0.973055527519	1.0	0.937106008872	0.71173423267	0.967128585814	0.897711526638	0.761086444158	0.999999999982	1.0	1.0	0.999999999999
UP00243_1_Isx_3445.1	1.0	0.698039618143	1.0	0.64961565851	0.999999999936	0.88716627009	0.82022857179	0.907762789352	0.999999999955	1.0	0.999999999995	1.0
UP00035_1_Hic1_primary	0.12753687016	0.395257852363	0.486978195992	0.0193507776424	0.0730091631998	0.57152185265	0.267812735673	0.175574855086	0.82028823045	1.0	0.770958668869	0.999999999987
UP00160_1_Obox3_3439.1	1.0	0.60828393354	1.0	1.0	0.975740920199	0.959359624376	1.0	0.996400413636	0.999999999958	1.0	0.999999999989	0.999999999999
UP00147_1_Nkx2-6_3437.1	1.0	0.675256339803	1.0	0.999999999996	0.989043338467	0.906985172412	1.0	0.980511695841	0.999999999946	1.0	1.0	1.0
UP00097_1_Mtf1_primary	1.0	0.00887576367501	0.0065046901	0.48690312304	0.196720139581	1.25113647191e-05	0.00013940608017	0.474413592675	0.0553707366825	1.0	1.0	1.0
MA0032.1.FOXC1	0.851850476673	0.996685601581	0.498468910067	0.913765129601	0.990658407178	0.998412801696	0.285038260654	0.993543152835	0.675461603636	0.534209477193	0.36738818034	0.35232393556
UP00177_1_Hoxd12_3481.1	0.999999999998	0.450072695639	0.317038374141	0.681488701093	0.877225494313	0.645750379931	0.736628444873	0.68383434902	0.0150834709	1.0	0.000317295012087	0.00178186849709
UP00056_2_Rfx4_secondary	0.99999999999	0.0366788408956	0.435633168566	0.710464029646	0.888393000005	0.333824324385	0.117530592079	0.425268493009	0.999999999928	1.0	1.0	1.0
UP00064_1_Sox18_primary	1.0	0.999439766858	1.0	0.973148579898	0.999998435529	0.999983326221	0.998860061081	0.999348952848	0.999999999951	0.999999999999	1.0	1.0
UP00237_1_Otp_3496.1	0.999999999996	0.999999999916	1.0	0.999999999979	0.989721815038	0.999999999696	1.0	1.0	0.999999999962	1.0	1.0	0.999999999996
UP00029_1_Tbp_primary	0.997109000072	0.999999999954	1.0	0.808413870623	0.999999997803	0.999999999744	1.0	0.980593582045	0.99999999996	1.0	1.0	0.999999999993
UP00166_1_Barhl1_2590.2	0.999999999993	0.998286178233	0.888679228015	0.973371870414	0.999467151586	0.999584323626	0.994208114571	0.901030844414	0.999999999967	1.0	0.999999999997	1.0
UP00012_1_Bbx_primary	0.999999999997	0.999999999909	1.0	1.0	0.999991928531	0.999999999838	0.98785578962	0.999998389929	0.999999999965	0.999999999998	1.0	1.0
UP00070_2_Gcm1_secondary	1.0	0.0366788408956	0.999999999998	0.160257012551	0.782436637732	0.216842938421	0.907791897589	0.400089532841	0.999999999983	1.0	1.0	1.0
UP00250_1_Irx5_2385.1	0.761047770897	0.931525340363	0.760925964921	0.970890122193	0.998324018703	0.997422999451	0.751879647265	0.993980506891	0.999999999987	1.0	1.0	1.0
UP00238_1_Nkx6-3_3446.1	0.999999999993	0.999999999934	1.0	0.987601249969	0.997140168063	0.999999263249	0.999637166574	0.995638498377	0.999999999968	0.999999999999	0.999999999993	1.0
MA0073.1.RREB1	0.761047770897	0.399898565004	0.802495741336	0.677168664087	0.674701803287	0.344556691772	0.0137492081152	0.821983596402	0.975791721733	0.999999999998	0.990676886181	0.865107053095
MA0037.1.GATA3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0071.1.RORA_1	0.865365871779	0.253844389627	1.0	0.000726411047134	0.0396473392135	0.0925295046085	0.511571023007	2.65119811529e-06	0.962323601319	0.487433175448	0.999059367833	1.0
UP00211_1_Pou3f3_3235.2	0.299012094779	0.999913275224	0.943006603005	0.940454628367	0.993067088706	0.999975811914	0.9742982713	0.96525922783	0.999999999977	1.0	0.997978903906	0.961041234405
UP00002_2_Sp4_secondary	0.999999999989	0.00161787996768	0.090909090909	0.000956366627109	0.00440271639232	4.76683800313e-07	0.43419741239	0.000136704887723	0.000319227956863	1.0	0.00537937065419	0.00178186849709
UP00040_1_Irf5_primary	1.0	0.309927331475	0.576095522745	0.0185776500015	0.877225494313	0.315297119307	0.496447812602	0.065484784395	0.0711355416372	0.248808743528	0.133843159511	0.0685816160182
MA0070.1.PBX1	1.0	0.98911340167	0.554355162406	0.647650073469	0.950005147988	0.999919054326	0.967243602294	0.996803600095	0.989754578429	1.0	0.999999999989	1.0
UP00212_1_Lhx5_2279.1	1.0	0.999999999944	1.0	0.999999999993	0.999982913309	0.999999995903	0.999516695052	0.999992024298	0.99999999996	0.999999999998	0.999999999983	1.0
UP00030_2_Sox11_secondary	1.0	0.998503386925	0.967908279118	0.953441687439	0.999996637263	0.999990950574	0.931584609681	0.991255447414	0.999999999995	1.0	0.99874686869	0.975846209496
MA0077.1.SOX9	0.836981194279	0.851370352864	0.496604388854	0.608403262238	0.994831238324	0.969433663021	0.889452778863	0.49982415095	0.975791721733	1.0	0.983464111999	0.999999999999
UP00070_1_Gcm1_primary	1.0	0.000214101306487	1.0	0.00913166936982	0.614500405761	0.000242628231067	0.649567299064	0.0193877938361	0.0711355416372	0.0909090909092	1.65121071889e-05	0.00178186849709
UP00023_2_Sox30_secondary	0.681737138836	0.999999999938	1.0	1.0	0.890188005819	0.999860718326	0.534262030767	0.999813378953	0.999999999957	0.999999999998	1.0	0.999999999993
UP00200_2_Nkx6-1_2825.2	0.999999999999	0.999928363434	0.999999999999	0.983484849418	0.995968643542	0.999991196602	0.999414908733	0.998425398934	0.999999999954	0.999999999999	1.0	1.0
